series_ticker,market_ticker,end_period_ts,end_period_utc,volume,open_interest,price_open,price_high,price_low,price_close,yes_bid_close,yes_ask_close
KXH200MAX,KXH200MAX-26DEC31-6.390,1787284800,2026-08-21T04:00:00+00:00,0.00,1562.33,,,,,0.6600,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.390,1787371200,2026-08-22T04:00:00+00:00,35.00,1597.33,0.6800,0.6800,0.6800,0.6800,0.6100,0.6900
KXH200MAX,KXH200MAX-26DEC31-6.390,1787457600,2026-08-23T04:00:00+00:00,37.46,1591.33,0.6900,0.6900,0.6200,0.6400,0.6400,0.6800
KXH200MAX,KXH200MAX-26DEC31-6.390,1787544000,2026-08-24T04:00:00+00:00,0.00,1591.33,,,,,0.6600,0.7500
KXH200MAX,KXH200MAX-26DEC31-6.390,1787630400,2026-08-25T04:00:00+00:00,0.00,1591.33,,,,,0.6600,0.7100
KXH200MAX,KXH200MAX-26DEC31-6.390,1787716800,2026-08-26T04:00:00+00:00,2.00,1591.33,0.6700,0.6700,0.6700,0.6700,0.6700,0.7000
KXH200MAX,KXH200MAX-26DEC31-6.390,1787803200,2026-08-27T04:00:00+00:00,4.61,1595.94,0.7500,0.7500,0.7500,0.7500,0.7000,0.7600
KXH200MAX,KXH200MAX-26DEC31-6.390,1787889600,2026-08-28T04:00:00+00:00,0.00,1595.94,,,,,0.7100,0.7700
KXH200MAX,KXH200MAX-26DEC31-6.390,1787976000,2026-08-29T04:00:00+00:00,0.00,1595.94,,,,,0.5600,0.6100
KXH200MAX,KXH200MAX-26DEC31-6.390,1788062400,2026-08-30T04:00:00+00:00,0.00,1595.94,,,,,0.5600,0.6000
KXH200MAX,KXH200MAX-26DEC31-6.090,1785556800,2026-08-01T04:00:00+00:00,152.37,1207.77,0.5700,0.7900,0.5700,0.7900,0.6900,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.090,1785643200,2026-08-02T04:00:00+00:00,188.29,1240.51,0.7900,0.8000,0.5800,0.7200,0.6700,0.6800
KXH200MAX,KXH200MAX-26DEC31-6.090,1785729600,2026-08-03T04:00:00+00:00,182.87,1127.48,0.6800,0.6800,0.5100,0.5500,0.5100,0.5500
KXH200MAX,KXH200MAX-26DEC31-6.090,1785816000,2026-08-04T04:00:00+00:00,88.07,1215.55,0.5600,0.5600,0.4900,0.5300,0.5000,0.5100
KXH200MAX,KXH200MAX-26DEC31-6.090,1785902400,2026-08-05T04:00:00+00:00,157.78,1138.10,0.4900,0.8000,0.4900,0.7900,0.7900,0.8000
KXH200MAX,KXH200MAX-26DEC31-6.090,1785988800,2026-08-06T04:00:00+00:00,5.00,1135.10,0.7900,0.7900,0.7800,0.7800,0.7800,0.7900
KXH200MAX,KXH200MAX-26DEC31-6.090,1786075200,2026-08-07T04:00:00+00:00,14.00,1131.35,0.7800,0.7800,0.7400,0.7400,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.090,1786161600,2026-08-08T04:00:00+00:00,0.00,1131.35,,,,,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.090,1786248000,2026-08-09T04:00:00+00:00,13.00,1138.35,0.7300,0.7300,0.7300,0.7300,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.090,1786334400,2026-08-10T04:00:00+00:00,0.00,1138.35,,,,,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.090,1786420800,2026-08-11T04:00:00+00:00,0.13,1138.48,0.7300,0.7300,0.7300,0.7300,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-6.090,1786507200,2026-08-12T04:00:00+00:00,37.00,1137.98,0.7200,0.7300,0.6800,0.6800,0.6700,0.6800
KXH200MAX,KXH200MAX-26DEC31-6.090,1786593600,2026-08-13T04:00:00+00:00,33.00,1170.98,0.6800,0.6800,0.6800,0.6800,0.6900,0.7000
KXH200MAX,KXH200MAX-26DEC31-6.090,1786680000,2026-08-14T04:00:00+00:00,21.07,1182.98,0.6900,0.6900,0.6700,0.6700,0.6700,0.6800
KXH200MAX,KXH200MAX-26DEC31-6.090,1786766400,2026-08-15T04:00:00+00:00,0.00,1182.98,,,,,0.6700,0.6800
KXH200MAX,KXH200MAX-26DEC31-6.090,1786852800,2026-08-16T04:00:00+00:00,51.32,1182.98,0.7000,0.7500,0.7000,0.7500,0.6900,0.7400
KXH200MAX,KXH200MAX-26DEC31-6.090,1786939200,2026-08-17T04:00:00+00:00,0.00,1182.98,,,,,0.6900,0.7000
