date,totalTokens,totalGrowthIndex,labs
2026-06-30,1979371458231,113.11035193601731,"[{'lab': 'anthropic', 'totalTokens': 1005062720208, 'growthIndex': 118.14354719678899, 'share': 0.5077686232306505}, {'lab': 'openai', 'totalTokens': 413696719583, 'growthIndex': 131.4650075707244, 'share': 0.20900408453536468}, {'lab': 'google', 'totalTokens': 560612018440, 'growthIndex': 95.90455227396038, 'share': 0.28322729223398474}]"
2026-07-01,2080361830866,118.88140443017794,"[{'lab': 'anthropic', 'totalTokens': 1119277389294, 'growthIndex': 131.569302501826, 'share': 0.5380205369505718}, {'lab': 'openai', 'totalTokens': 416081441688, 'growthIndex': 132.22282723606742, 'share': 0.2000043624693865}, {'lab': 'google', 'totalTokens': 545002999884, 'growthIndex': 93.2342992526022, 'share': 0.2619751005800417}]"
2026-07-02,2266870705683,129.53937586955365,"[{'lab': 'anthropic', 'totalTokens': 1257984662727, 'growthIndex': 147.87412505257998, 'share': 0.554943279108622}, {'lab': 'openai', 'totalTokens': 460798354810, 'growthIndex': 146.4330180445631, 'share': 0.2032750935705277}, {'lab': 'google', 'totalTokens': 548087688146, 'growthIndex': 93.76200047366245, 'share': 0.2417816273208503}]"
2026-07-03,2203717115494,125.93049044150726,"[{'lab': 'anthropic', 'totalTokens': 1140225246691, 'growthIndex': 134.0316903004122, 'share': 0.5174099881850759}, {'lab': 'openai', 'totalTokens': 525644930533, 'growthIndex': 167.04003561277798, 'share': 0.23852649999279418}, {'lab': 'google', 'totalTokens': 537846938270, 'growthIndex': 92.01010344059429, 'share': 0.24406351182212996}]"
2026-07-04,1536874727860,87.82406183889111,"[{'lab': 'anthropic', 'totalTokens': 815663745275, 'growthIndex': 95.87999460040025, 'share': 0.5307288424286603}, {'lab': 'openai', 'totalTokens': 324187587919, 'growthIndex': 103.02069531289936, 'share': 0.21093950082087076}, {'lab': 'google', 'totalTokens': 397023394666, 'growthIndex': 67.91925548382754, 'share': 0.25833165675046904}]"
2026-07-05,1681460722896,96.08636789343898,"[{'lab': 'anthropic', 'totalTokens': 871585887303, 'growthIndex': 102.45355473072053, 'share': 0.518350429144641}, {'lab': 'openai', 'totalTokens': 382329493784, 'growthIndex': 121.49709537336693, 'share': 0.22737937828574986}, {'lab': 'google', 'totalTokens': 427545341809, 'growthIndex': 73.14068060315395, 'share': 0.2542701925696091}]"
2026-07-06,2199253846908,125.67543882982109,"[{'lab': 'anthropic', 'totalTokens': 1173672339296, 'growthIndex': 137.96334360355772, 'share': 0.5336684262010513}, {'lab': 'openai', 'totalTokens': 485648217877, 'growthIndex': 154.32983540276598, 'share': 0.22082408475028387}, {'lab': 'google', 'totalTokens': 539933289735, 'growthIndex': 92.36701802065222, 'share': 0.24550748904866493}]"
2026-07-07,2161186305141,123.50008511907666,"[{'lab': 'anthropic', 'totalTokens': 1196555125707, 'growthIndex': 140.6531792744923, 'share': 0.5536566296300561}, {'lab': 'openai', 'totalTokens': 446404916398, 'growthIndex': 141.8590550416423, 'share': 0.20655549932742873}, {'lab': 'google', 'totalTokens': 518226263036, 'growthIndex': 88.65357162940383, 'share': 0.2397878710425152}]"
2026-07-08,2249858666044,128.56722999834034,"[{'lab': 'anthropic', 'totalTokens': 1273634410766, 'growthIndex': 149.71372840159367, 'share': 0.5660952974461605}, {'lab': 'openai', 'totalTokens': 410217887859, 'growthIndex': 130.3595005234509, 'share': 0.18233051437862074}, {'lab': 'google', 'totalTokens': 566006367419, 'growthIndex': 96.82736984943813, 'share': 0.2515741881752188}]"
2026-07-09,2079375697149,118.82505223245275,"[{'lab': 'anthropic', 'totalTokens': 1153854733494, 'growthIndex': 135.6338151081506, 'share': 0.5549044047576551}, {'lab': 'openai', 'totalTokens': 401179920920, 'growthIndex': 127.48740525216797, 'share': 0.19293286993305328}, {'lab': 'google', 'totalTokens': 524341042735, 'growthIndex': 89.69963412895272, 'share': 0.25216272530929157}]"
2026-07-10,1940848946657,110.90899916644234,"[{'lab': 'anthropic', 'totalTokens': 1021565102072, 'growthIndex': 120.08337631531944, 'share': 0.5263496182078398}, {'lab': 'openai', 'totalTokens': 430282073958, 'growthIndex': 136.73552008692303, 'share': 0.22169786819274934}, {'lab': 'google', 'totalTokens': 489001770627, 'growthIndex': 83.65410360565708, 'share': 0.25195251359941084}]"
2026-07-11,1387893251126,79.31057782594557,"[{'lab': 'anthropic', 'totalTokens': 683098216833, 'growthIndex': 80.29712454537177, 'share': 0.49218354241495255}, {'lab': 'openai', 'totalTokens': 315181269457, 'growthIndex': 100.15865733013594, 'share': 0.22709330793365623}, {'lab': 'google', 'totalTokens': 389613764836, 'growthIndex': 66.65168146117396, 'share': 0.2807231496513912}]"
2026-07-12,1360858724198,77.76570112150795,"[{'lab': 'anthropic', 'totalTokens': 699130404983, 'growthIndex': 82.18168312991001, 'share': 0.5137420898668384}, {'lab': 'openai', 'totalTokens': 305829689424, 'growthIndex': 97.18690173807853, 'share': 0.22473287196232347}, {'lab': 'google', 'totalTokens': 355898629791, 'growthIndex': 60.883993960744654, 'share': 0.2615250381708381}]"
2026-07-13,2199017378172,125.66192592306496,"[{'lab': 'anthropic', 'totalTokens': 1171737192565, 'growthIndex': 137.73587013891733, 'share': 0.5328458084033161}, {'lab': 'openai', 'totalTokens': 510229347800, 'growthIndex': 162.14125444104482, 'share': 0.2320260643979738}, {'lab': 'google', 'totalTokens': 517050837807, 'growthIndex': 88.45249026366278, 'share': 0.2351281271987101}]"
